Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,29/02/2020 6:26,FALSE,Melbourne Cycling,85.41,"1,324",2:47:33,138,195,3,--,--,30.6,45.6,"1,564","1,628",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,28/02/2020 5:46,FALSE,Pool Swimming,"4,000",747,1:16:35,--,--,--,--,--,1:38,0:26,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1962,74,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,27/02/2020 5:25,FALSE,Melbourne Cycling,38.14,752,1:17:00,139,185,3.2,--,--,29.7,44.3,847,930,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,26/02/2020 19:15,FALSE,Zwift - Watopia,19.64,263,0:40:18,--,--,0,--,--,29.2,53.8,59,--,0,0,0,71,82,117,0,120,114,240,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,24/02/2020 18:31,FALSE,Lap Swimming,"3,150",637,0:52:04,--,--,--,--,--,1:20,0:24,--,--,0,0,0,--,--,--,0,--,--,--,0,0,922,55,22,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,24/02/2020 18:18,FALSE,Lap Swimming,375,61,0:12:11,--,--,--,--,--,3:15,1:08,--,--,0,0,0,--,--,--,0,--,--,--,0,0,327,70,27,--,--,0:00,0,0:00,No,00:00.9,2,0
Multisport,23/02/2020 7:35,FALSE,Geelong Multi-Sport,114.03,"3,189",5:04:45,--,180,4.4,--,--,22.5,--,"1,972","1,960",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,5,0
Running,22/02/2020 8:15,FALSE,Geelong Running,3.05,222,0:17:47,161,182,3.1,163,195,5:50,4:59,124,114,1.05,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:16.8,4,0
Cycling,22/02/2020 7:01,FALSE,Geelong Cycling,23.98,424,0:54:32,124,158,2,--,--,26.4,34.7,480,484,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,20/02/2020 5:47,FALSE,Melbourne Running,10.03,661,0:55:38,154,176,4.1,160,177,5:33,4:15,308,311,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:01.0,13,0
Pool Swimming,19/02/2020 5:47,FALSE,Lap Swimming,"3,550",612,1:14:03,--,--,--,--,--,1:53,0:54,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1826,41,27,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,18/02/2020 19:43,FALSE,Zwift - Watopia,29.05,477,0:55:13,--,--,0,--,--,31.6,51.1,162,--,0,0,0,84,105,159,0,162,151,364,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,17/02/2020 18:18,FALSE,Lap Swimming,"3,300",594,1:12:39,--,--,--,--,--,1:52,1:32,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1905,85,31,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,16/02/2020 8:33,FALSE,Melbourne Running,15.03,894,1:21:00,148,161,3.5,170,179,5:23,4:38,425,458,1.09,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.5,16,0
Cycling,15/02/2020 6:22,FALSE,Melbourne Cycling,86.12,"1,264",2:55:47,132,165,2.7,--,--,29.4,40.5,"1,490","1,562",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,14/02/2020 6:42,FALSE,Melbourne Running,10.03,607,0:52:36,150,161,3.7,169,181,5:14,4:40,256,296,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.7,11,0
Cycling,13/02/2020 5:26,FALSE,Melbourne Cycling,48.81,856,1:32:33,140,172,3.4,--,--,31.6,50.6,864,912,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,12/02/2020 5:45,FALSE,Lap Swimming,"4,500",860,1:20:23,--,--,--,--,--,1:40,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2183,74,29,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,11/02/2020 5:47,FALSE,Melbourne Running,13.18,836,1:11:03,156,175,3.9,159,189,5:23,3:27,454,463,1.16,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:43.2,24,0
Pool Swimming,10/02/2020 18:19,FALSE,Lap Swimming,"3,800",691,1:11:40,--,--,--,--,--,1:48,0:32,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2142,82,31,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,9/02/2020 7:57,FALSE,Melbourne Running,21.03,"1,161",1:47:40,149,163,3.6,171,180,5:07,4:39,612,605,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.8,22,0
Open Water Swimming,9/02/2020 7:11,FALSE,Port Phillip Bay Open Water Swimming,"1,996",354,0:36:40,--,--,--,--,--,1:50,0:25,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1258,43,34,--,--,0:00,0,0:00,No,08:25.1,4,0
Running,8/02/2020 11:35,FALSE,Melbourne Running,10.02,624,0:51:41,156,170,3.8,168,181,5:10,4:27,259,261,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:08.7,11,0
Cycling,8/02/2020 6:27,FALSE,Melbourne Cycling,141.47,"2,135",4:28:29,143,184,3.3,--,--,31.6,57,"2,610","2,698",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,6/02/2020 18:26,FALSE,Melbourne Running,16.03,918,1:31:08,149,175,3.6,142,197,5:41,3:04,402,406,1.25,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:32.3,46,0
Cycling,6/02/2020 5:22,FALSE,Melbourne Cycling,48.79,818,1:33:31,138,173,3.5,--,--,31.3,49.8,982,"1,024",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,5/02/2020 5:46,FALSE,Lap Swimming,"3,650",696,1:15:23,--,--,--,--,--,1:48,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1860,80,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Indoor Cycling,4/02/2020 18:30,FALSE,Indoor Cycling,33.36,822,1:30:07,140,164,3.1,--,--,22.2,32.7,--,--,0,0,0,79,117,--,0,--,--,--,0,0,7112,--,--,--,--,0:00,0,0:00,No,09:51.7,7,0
Running,4/02/2020 5:47,FALSE,Melbourne Running,14.11,886,1:14:10,160,185,4.5,163,191,5:15,3:28,378,390,1.17,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:32.4,25,0
Pool Swimming,3/02/2020 18:27,FALSE,Lap Swimming,"2,450",427,1:11:00,--,--,--,--,--,1:00:00,1:06,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1649,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,2/02/2020 11:18,FALSE,Melbourne Running,8.02,453,0:40:03,151,170,3.6,171,181,5:00,4:25,274,289,1.17,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.8,9,0
Cycling,2/02/2020 6:01,FALSE,Melbourne Cycling,140.53,"2,058",4:41:14,131,162,3.3,--,--,30,58,"2,579","2,596",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,1/02/2020 6:52,FALSE,Melbourne Running,20.03,"1,271",1:44:58,162,180,4.7,168,238,5:14,4:33,638,699,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.8,21,0
Pool Swimming,31/01/2020 5:47,FALSE,Lap Swimming,"3,700",684,1:18:11,--,--,--,--,--,1:46,0:47,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1856,78,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,30/01/2020 18:21,FALSE,Melbourne Running,12.02,663,1:04:53,147,171,3,153,189,5:24,3:31,260,340,1.23,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:03.9,28,0
Cycling,30/01/2020 5:23,FALSE,Melbourne Cycling,48.83,859,1:32:17,143,181,3.7,--,--,31.7,46.4,797,869,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,29/01/2020 5:47,FALSE,Lap Swimming,"3,450",631,1:15:00,--,--,--,--,--,1:47,0:38,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1806,80,29,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,28/01/2020 19:10,FALSE,Zwift - NYC,35.35,678,1:15:18,--,--,0,--,--,28.2,70.6,561,--,0,0,0,75,102,166,0,178,157,405,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,28/01/2020 5:47,FALSE,Melbourne Running,13.16,793,1:14:07,149,171,3.5,153,206,5:38,3:22,430,421,1.19,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.4,27,0
Open Water Swimming,27/01/2020 10:20,FALSE,Port Phillip Bay Open Water Swimming,"2,669",483,0:46:50,--,--,--,--,--,1:45,0:13,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1457,40,30,--,--,0:00,0,0:00,No,03:20.2,6,0
Running,26/01/2020 13:46,FALSE,Melbourne Running,19.03,"1,097",1:37:22,154,179,3.9,171,216,5:07,4:16,485,539,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.6,20,0
Open Water Swimming,26/01/2020 7:10,FALSE,Port Phillip Bay Open Water Swimming,"2,504",445,0:47:14,--,--,--,--,--,1:53,0:16,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1509,43,31,--,--,0:00,0,0:00,No,01:26.2,7,0
Running,25/01/2020 11:28,FALSE,Melbourne Running,6.03,362,0:30:11,155,171,3.4,172,179,5:00,4:14,192,215,1.16,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.3,7,0
Cycling,25/01/2020 6:25,FALSE,Melbourne Cycling,131.68,"2,101",4:12:50,144,172,4,--,--,31.3,61.1,"2,255","2,343",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,24/01/2020 5:45,FALSE,Lap Swimming,"3,850",713,1:11:28,--,--,--,--,--,1:38,0:20,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1753,72,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,23/01/2020 18:28,FALSE,Melbourne Running,12.08,746,1:02:11,158,179,4.3,164,187,5:09,3:23,336,359,1.19,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:13.0,17,0
Virtual Cycling,23/01/2020 5:42,FALSE,Zwift - Watopia,40.89,710,1:15:31,--,--,0,--,--,32.5,66.7,295,--,0,0,0,77,97,175,0,190,164,364,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,22/01/2020 5:44,FALSE,Lap Swimming,"3,850",753,1:18:49,--,--,--,--,--,1:42,0:26,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1943,76,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,21/01/2020 19:28,FALSE,Zwift - Watopia,33.83,589,1:03:12,--,--,0,--,--,32.1,66,265,--,0,0,0,79,106,172,0,182,162,466,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,21/01/2020 5:47,FALSE,Melbourne Running,11.7,724,1:08:26,149,182,3.4,153,195,5:51,3:09,400,399,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:33.3,17,0
Running,19/01/2020 8:40,FALSE,Melbourne Running,18.11,"1,038",1:35:04,152,180,3.6,170,179,5:15,4:09,610,632,1.12,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:34.3,19,0
Open Water Swimming,19/01/2020 7:07,FALSE,Port Phillip Bay Open Water Swimming,"2,556",452,0:46:15,--,--,--,--,--,1:49,0:33,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1567,42,33,--,--,0:00,0,0:00,No,00:18.3,8,0
Running,18/01/2020 10:07,FALSE,Melbourne Running,3.24,188,0:16:11,152,164,2.7,174,181,5:00,4:27,93,97,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:10.1,4,0
Cycling,18/01/2020 5:30,FALSE,Melbourne Cycling,130.28,"1,995",4:08:21,143,178,3.4,--,--,31.5,54.1,"2,304","2,364",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,17/01/2020 5:45,FALSE,Lap Swimming,"4,150",767,1:17:26,--,--,--,--,--,1:41,0:34,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2086,76,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,16/01/2020 18:44,FALSE,Melbourne Running,14.13,903,1:20:20,155,181,4.2,148,183,5:41,3:50,465,460,1.24,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:22.8,28,0
Virtual Cycling,16/01/2020 5:30,FALSE,Zwift - Tour de Zwift: Stage 1 Long Distance,46.83,795,1:25:52,--,--,0,--,--,32.7,76.2,370,--,0,0,0,73,92,164,0,170,160,318,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,15/01/2020 5:46,FALSE,Lap Swimming,"4,200",856,1:08:49,--,--,--,--,--,1:23,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1540,60,26,--,--,0:00,0,0:00,No,02:05.9,2,0
Virtual Cycling,14/01/2020 18:54,FALSE,Zwift - London,36.6,672,1:16:34,--,--,0,--,--,28.7,78.1,366,--,0,0,0,76,105,161,0,182,153,423,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Treadmill Running,14/01/2020 6:36,FALSE,Treadmill Running,11.03,696,1:02:25,151,181,3.9,160,180,5:40,4:32,--,--,1.1,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:08.3,12,0
Pool Swimming,13/01/2020 18:16,FALSE,Lap Swimming,"4,350",852,1:19:16,--,--,--,--,--,1:39,0:25,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2170,74,30,--,--,0:00,0,0:00,No,00:02.0,3,0
Running,12/01/2020 8:39,FALSE,Melbourne Running,17.03,"1,060",1:28:41,160,185,4.5,169,181,5:12,4:34,487,486,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.5,18,0
Open Water Swimming,12/01/2020 7:13,FALSE,Port Phillip Bay Open Water Swimming,"1,690",303,0:31:58,--,--,--,--,--,1:54,0:25,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1063,44,33,--,--,0:00,0,0:00,No,06:57.0,4,0
Running,11/01/2020 10:51,FALSE,Melbourne Running,2.04,124,0:10:24,157,166,2.3,171,179,5:06,4:31,69,85,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.6,3,0
Cycling,11/01/2020 6:24,FALSE,Melbourne Cycling,120.38,"2,149",3:58:27,149,187,3.9,--,--,30.3,60,"2,348","2,356",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,10/01/2020 5:44,FALSE,Lap Swimming,"3,350",624,1:11:41,--,--,--,--,--,1:52,0:33,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1886,84,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,9/01/2020 18:06,FALSE,Melbourne Running,10.01,578,0:53:04,154,176,3.7,162,177,5:18,4:16,331,350,1.16,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:55.0,12,0
Cycling,9/01/2020 5:24,FALSE,Melbourne Cycling,48.91,977,1:33:09,149,186,4.1,--,--,31.5,50.1,746,786,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:12.6,2,0
Pool Swimming,8/01/2020 5:45,FALSE,Lap Swimming,"4,600",975,1:17:54,--,--,--,--,--,1:26,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1797,63,27,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,7/01/2020 15:21,FALSE,Melbourne Running,12.04,804,1:11:06,156,175,4.5,141,189,5:54,3:33,241,250,1.18,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:19.0,51,0
Virtual Cycling,7/01/2020 8:35,FALSE,Zwift - Watopia,45.57,774,1:29:41,--,--,0,--,--,30.5,67.1,389,--,0,0,0,79,99,160,0,174,152,406,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,6/01/2020 18:17,FALSE,Lap Swimming,"3,500",190,1:13:50,--,--,--,--,--,2:07,1:22,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1777,65,29,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,5/01/2020 15:06,FALSE,Melbourne Running,16.05,"1,025",1:23:30,161,185,4.9,167,178,5:12,4:38,299,315,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:13.2,17,0
Virtual Cycling,4/01/2020 7:26,FALSE,Zwift - Watopia,72.48,"1,286",2:19:39,--,--,0,--,--,31.1,67,572,--,0,0,0,77,107,171,0,183,164,474,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,2/01/2020 7:17,FALSE,Maroochydore Cycling,51.94,877,1:46:17,136,155,3,--,--,29.3,54.1,"1,075","1,084",0,0,0,75,100,--,0,--,--,--,0,0,7763,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,31/12/2019 8:42,FALSE,Maroochydore Cycling,25.77,395,1:11:45,109,138,1,--,--,21.5,41.1,580,651,0,0,0,63,100,--,0,--,--,--,0,0,3914,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,30/12/2019 7:00,FALSE,Maroochydore Running,11.07,678,0:58:11,153,169,4,169,179,5:15,4:14,422,445,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,02:33.2,12,0
Cycling,29/12/2019 5:54,FALSE,Maroochydore Cycling,84.47,"1,318",2:54:12,133,164,2.8,--,--,29.1,51.7,"1,694","1,705",0,0,0,74,104,--,0,--,--,--,0,0,12461,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Open Water Swimming,28/12/2019 10:23,FALSE,Queensland Open Water Swimming,"2,515",445,0:46:03,--,--,--,--,--,1:50,0:41,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1504,42,32,--,--,0:00,0,0:00,No,00:17.1,6,0
